Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.999,0.998888888889,1.0
2,0.866,0.975555555556,0.86
3,0.605,0.862222222222,0.68
4,0.864,0.932222222222,0.81
5,0.861,0.982222222222,0.83
6,0.797,0.911111111111,0.76
7,0.845,0.928888888889,0.78
8,0.878,0.98,0.94
9,0.682,0.785555555556,0.77
10,0.617,0.771111111111,0.6
11,0.896,0.934444444444,0.88
12,0.983,0.997777777778,0.99
13,0.94,0.93,0.92
14,0.869,0.998888888889,0.87
15,0.53,0.628888888889,0.58
16,0.456,0.604444444444,0.43
17,0.596,0.661111111111,0.67
18,0.899,0.921111111111,0.93
19,0.087,0.238888888889,0.08
20,0.998,1.0,1.0
