Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.994,1.0,0.99
2,0.878,0.998888888889,0.83
3,0.714,0.962222222222,0.8
4,0.986,0.997777777778,0.99
5,0.873,0.993333333333,0.91
6,0.954,0.997777777778,0.97
7,0.825,0.971111111111,0.86
8,0.898,0.995555555556,0.91
9,0.964,0.997777777778,0.97
10,0.897,0.994444444444,0.92
11,0.881,0.982222222222,0.9
12,0.969,0.995555555556,0.93
13,0.941,0.974444444444,0.93
14,0.942,1.0,0.95
15,0.336,0.624444444444,0.52
16,0.42,0.653333333333,0.48
17,0.528,0.716666666667,0.52
18,0.903,0.958888888889,0.91
19,0.132,0.307777777778,0.12
20,0.993,1.0,1.0
