Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.99,1.0,0.99
2,0.835,1.0,0.9
3,0.711,0.998888888889,0.75
4,0.781,0.893333333333,0.8
5,0.874,1.0,0.89
6,0.978,1.0,0.99
7,0.828,0.997777777778,0.78
8,0.865,0.997777777778,0.87
9,0.966,1.0,0.97
10,0.898,1.0,0.95
11,0.952,1.0,0.97
12,0.984,1.0,0.99
13,0.993,1.0,1.0
14,0.932,1.0,0.93
15,0.535,0.771111111111,0.56
16,0.444,0.763333333333,0.45
17,0.577,0.752222222222,0.59
18,0.897,0.948888888889,0.96
19,0.087,0.318888888889,0.06
20,0.997,1.0,0.99
