Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,1.0,1.0,1.0
2,0.858,0.996666666667,0.89
3,0.581,0.927777777778,0.67
4,0.931,0.971111111111,0.92
5,0.856,0.997777777778,0.89
6,0.967,1.0,0.99
7,0.8,0.966666666667,0.8
8,0.872,0.984444444444,0.87
9,0.963,1.0,0.99
10,0.907,0.994444444444,0.82
11,0.979,1.0,0.99
12,0.983,1.0,0.99
13,0.991,1.0,0.98
14,0.915,1.0,0.89
15,0.537,0.65,0.56
16,0.467,0.644444444444,0.41
17,0.587,0.711111111111,0.66
18,0.912,0.958888888889,0.94
19,0.124,0.271111111111,0.1
20,0.992,1.0,0.98
