Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.987,1.0,1.0
2,0.82,0.984444444444,0.83
3,0.725,0.987777777778,0.68
4,0.768,0.911111111111,0.83
5,0.851,0.997777777778,0.88
6,0.949,0.998888888889,0.97
7,0.794,0.965555555556,0.83
8,0.877,0.99,0.86
9,0.959,0.998888888889,0.97
10,0.943,1.0,0.91
11,0.982,1.0,0.98
12,0.991,1.0,0.99
13,0.988,1.0,0.99
14,0.947,1.0,0.95
15,0.519,0.663333333333,0.56
16,0.45,0.675555555556,0.48
17,0.571,0.713333333333,0.62
18,0.887,0.948888888889,0.95
19,0.096,0.321111111111,0.07
20,0.997,1.0,1.0
