Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.992,1.0,1.0
2,0.869,1.0,0.85
3,0.721,0.995555555556,0.76
4,0.965,0.998888888889,0.94
5,0.867,0.995555555556,0.93
6,0.947,1.0,0.94
7,0.865,0.978888888889,0.84
8,0.864,0.988888888889,0.89
9,0.955,1.0,0.95
10,0.918,0.998888888889,0.93
11,0.881,0.972222222222,0.92
12,0.969,0.997777777778,0.96
13,0.928,0.971111111111,0.91
14,0.929,1.0,0.97
15,0.497,0.66,0.52
16,0.443,0.705555555556,0.39
17,0.554,0.734444444444,0.63
18,0.901,0.923333333333,0.95
19,0.086,0.297777777778,0.08
20,0.993,1.0,1.0
